Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeleton1	0	skeleton1	skeleton2	0	Skeleton	skeleton1		skeleton	Skeleton		SK	1													1	3		3	3	2	2	52	103	skeleton	skeleton	10	13	13	13	50	50	50	70	70	70	10	10	10	85	85	85	75	75	75																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25						50						75	33			100		75	2				10	10	10	5	86	129	84	21	34	101	202	34	101	202				70	100	100	21	40	100	240	40	105	250				70	100	100	21	40	100	240	40	105	250																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
skeleton2	1	skeleton1	skeleton3	1	Returned	skeleton2		skeleton	Skeleton		SK	1													2	3		4	4	2	6	53	104	skeleton	skeleton	10	13	13	13	50	50	50	80	80	80	7	7	7	90	90	90	25	25	25																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25						50						75	33					100	2				15	15	15	5	87	127	84	21	41	101	186	41	101	186				70	100	100	21	40	100	240	40	105	250				70	100	100	21	40	100	240	40	105	250																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton3	2	skeleton1	skeleton4	2	BoneWarrior	skeleton3		skeleton	Skeleton		SK	1													2	4		4	4	2	7	54	120	skeleton	skeleton	10	13	13	13	50	50	50	90	90	90	7	7	7	95	95	95	50	50	50																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25					40	50					60	75	33				110	75	2				20	20	20	5	89	124	84	21	41	121	188	41	121	188				70	100	100	21	40	100	240	40	105	250				70	100	100	21	40	100	240	40	105	250																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton4	3	skeleton1	skeleton5	3	BurningDead	skeleton4		skeleton	Skeleton		SK	1													2	4		5	5	2	13	58	109	skeleton	skeleton	10	13	13	13	50	50	50	95	95	95	5	5	5	99	99	99	66	66	66																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25			50			50			75			75	33		100			75	2				25	25	25	5	93	133	84	21	45	101	186	34	101	186				70	100	100	21	40	100	240	40	105	250				70	100	100	21	40	90	220	40	105	250				A1	fire	50	22	55		50	25	55		50	25	55																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
skeleton5	4	skeleton1	skeleton6	4	Horror	skeleton5		skeleton	Skeleton		SK	1													2	4		5	5	2	14	59	113	skeleton	skeleton	10	13	13	13	50	50	50	99	99	99	5	5	5	99	99	99	33	33	33																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25		20		60		50		40		80		75	33	70		120		75	2				30	30	30	5	94	131	84	21	41	101	188	31	101	188				70	100	100	21	40	100	240	40	105	250				70	100	100	21	40	100	240	40	95	230				A2	ltng	60	30	60		60	30	50		60	30	50																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
zombie1	5	zombie1	zombie2	0	Zombie	zombie1		zombie	Zombie		ZM	1													1	2		1	3	2	1	51	102	zombie	zombieunique	10	13	13	13	50	50	50	50	50	50	20	20	20				30	30	30																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						50						75	50				120	75	2				3	3	3	5	101	181	84	27	51	151	202	101	151	202				105	150	80	26	60	140	210	70	150	220				105	150	80	26	60	140	210	70	150	220																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie2	6	zombie1	zombie3	1	HungryDead	zombie2		zombie	Zombie		ZM	1													1	3		1	4	2	2	52	103	zombie	zombieunique	10	13	13	13	50	50	50	60	60	60	25	25	25				35	35	35																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						50						75	50			110		75	2				4	4	4	5	101	186	84	27	34	101	202	101	134	202				105	150	80	26	60	140	210	70	150	220				105	150	80	26	60	140	210	70	150	220																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie3	7	zombie1	zombie4	2	Ghoul	zombie3		zombie	Zombie		ZM	1													2	3		1	4	2	12	58	108	zombie	zombieunique	10	13	13	13	50	50	50	70	70	70	30	30	30				40	40	40																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						50						75	50		100			75	2				13	13	13	5	108	197	84	27	51	138	186	113	163	186				105	150	80	26	60	140	210	70	150	220				105	150	80	26	60	140	210	70	150	220																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
zombie4	8	zombie1	zombie5	3	DrownedCarcass	zombie4		zombie	Zombie		ZM	1													2	4		1	5	2	22	65	115	zombie	zombieunique	10	13	13	13	50	50	50	100	100	100	30	30	30				45	45	45																						1	1					1							1	1							1																										100	75	50	-50	-40	-25	20		50			50	50		75			75	50		110			75	2				22	22	22	5	107	192	85	27	51	136	188	108	165	188				105	150	80	26	60	140	210	70	150	220				105	150	80	26	55	135	210	70	150	220				A1	cold	75	21	42	25	75	20	40	75	75	20	40	100																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
zombie5	9	zombie1		4	PlagueBearer	zombie5		zombie	Zombie		ZM	1													3	4		1	5	2	17	61	112	zombie	zombieunique	10	13	13	13	50	50	50	80	80	80	30	30	30				50	50	50																						1	1					1							1	1							1																										100	75	50	-50	-40	-25		50				50		75				75	50	100				75	2				17	17	17	5	109	192	84	27	55	137	184	101	164	184				105	150	80	26	60	140	210	70	150	220				105	150	80	26	55	135	210	70	150	220				A1	pois	50	27	54	400	50	25	25	400	50	25	25	400																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
